"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_BH","significant"
"X47962_263.127_6.242_NA",1.48261483354484,0.494204944514946,-0.988409889029891,16.549037305372,1.17122480792813e-37,175.304098241726,1.3058026289142,1.65942703817547,"Welch Two Sample t-test","two.sided",4.25951038147302e-35,"Significant"
"X48471_410.253_6.348_NA",1.46171210101926,0.48723736700642,-0.974474734012839,17.3627471595767,4.35655348819358e-37,143.535072897057,1.29530623400469,1.62811796803383,"Welch Two Sample t-test","two.sided",1.52345324287139e-34,"Significant"
"X62539_468.978_8.06_NA",1.48014511612936,0.493381705376452,-0.986763410752905,18.5009992470414,7.94511178513553e-37,119.115083004044,1.32173172244367,1.63855850981505,"Welch Two Sample t-test","two.sided",2.67544282779453e-34,"Significant"
"X23179_222.135_4.384_NA",1.46063986648436,0.486879955494787,-0.973759910989573,17.6076952277412,1.08938374814703e-36,134.149324451588,1.2965717238801,1.62470800908862,"Welch Two Sample t-test","two.sided",3.46894235731382e-34,"Significant"
"X12925_223.133_3.157_NA",-1.68621036897572,-0.562070122991905,1.12414024598381,-18.0321856235005,1.10645983680269e-36,125.813653838154,-1.87126883824149,-1.50115189970994,"Welch Two Sample t-test","two.sided",3.46894235731382e-34,"Significant"
"X79472_328.248_10.17_NA",-1.91944100708791,-0.639813669029304,1.27962733805861,-23.6663343337576,1.39571040541936e-36,75.1930824969124,-2.08100221811638,-1.75787979605944,"Welch Two Sample t-test","two.sided",4.22993300202427e-34,"Significant"
"X1853_495.226_0.873_NA",-1.9074009651547,-0.635800321718232,1.27160064343646,-23.1251152119413,2.34635938758942e-36,76.8536551638328,-2.07164818916119,-1.7431537411482,"Welch Two Sample t-test","two.sided",6.88164501676226e-34,"Significant"
"X64444_402.3_8.2_NA",1.4429616466027,0.480987215534233,-0.961974431068466,16.4463895477044,3.46026570036827e-36,159.653589903203,1.26968627109888,1.61623702210651,"Welch Two Sample t-test","two.sided",9.83147992117134e-34,"Significant"
"X75229_396.289_9.793_NA",1.44306520360644,0.481021734535481,-0.962043469070962,16.8586071870818,3.93130134166636e-36,146.564073287231,1.2738991574556,1.61223124975729,"Welch Two Sample t-test","two.sided",1.08313308480093e-33,"Significant"
"X66445_408.248_8.626_NA",1.45581573149748,0.485271910499162,-0.970543820998323,17.7620509501234,5.91595336355542e-36,124.686399489003,1.29359849377172,1.61803296922325,"Welch Two Sample t-test","two.sided",1.58199552886605e-33,"Significant"
